"","row","trainAUC","testAUC","spec","sen","best","n.trees","interaction.depth","shrinkage","n.minobsinnode","seed","id","id2","type"
"77",77,0.990793458509994,0.897149938042131,0.996282527881041,0.0666666666666667,1915,5000,4,0.001,4,7,"5000 4 0.001 4","8","competence"
"78",78,0.972501091226539,0.870404411764706,0.996323529411765,0,1603,5000,4,0.001,4,8,"5000 4 0.001 4","8","competence"
"79",79,0.978011785246617,0.855392156862745,0.996323529411765,0.0833333333333333,2101,5000,4,0.001,4,9,"5000 4 0.001 4","8","competence"
"80",80,0.992704402515723,0.809001865671642,0.985074626865672,0.1875,2282,5000,4,0.001,4,10,"5000 4 0.001 4","8","competence"
"81",81,0.991504372019078,0.811717171717172,0.992727272727273,0,256,5000,4,0.01,4,1,"5000 4 0.01 4","9","competence"
"82",82,0.983835182250396,0.855810855810856,0.981684981684982,0.181818181818182,189,5000,4,0.01,4,2,"5000 4 0.01 4","9","competence"
"83",83,0.982039091389329,0.876789876789877,1,0.0909090909090909,238,5000,4,0.01,4,3,"5000 4 0.01 4","9","competence"
"84",84,0.979444122756225,0.820878623188406,1,0,145,5000,4,0.01,4,4,"5000 4 0.01 4","9","competence"
"85",85,0.988479262672811,0.862773722627737,0.989051094890511,0,249,5000,4,0.01,4,5,"5000 4 0.01 4","9","competence"
"86",86,0.980467044958533,0.848805147058823,1,0,147,5000,4,0.01,4,6,"5000 4 0.01 4","9","competence"
"87",87,0.991096305269534,0.908921933085502,1,0.0666666666666667,187,5000,4,0.01,4,7,"5000 4 0.01 4","9","competence"
"88",88,0.976374945438673,0.866268382352941,0.996323529411765,0,152,5000,4,0.01,4,8,"5000 4 0.01 4","9","competence"
"89",89,0.980303360977739,0.846200980392157,0.996323529411765,0.0833333333333333,214,5000,4,0.01,4,9,"5000 4 0.01 4","9","competence"
"90",90,0.992389937106918,0.792910447761194,0.98134328358209,0.1875,248,5000,4,0.01,4,10,"5000 4 0.01 4","9","competence"
"91",1,0.95757365951227,0.875466417910448,1,0,5352,15000,2,5e-04,4,1,"15000 2 5e-04 4","1","PCR"
"92",2,0.957853541055167,0.891945477075589,0.985130111524164,0,5072,15000,2,5e-04,4,2,"15000 2 5e-04 4","1","PCR"
"93",3,0.949611508577583,0.911380597014925,0.988805970149254,0,5428,15000,2,5e-04,4,3,"15000 2 5e-04 4","1","PCR"
"94",4,0.964279825212301,0.868917576961271,0.99622641509434,0.105263157894737,7490,15000,2,5e-04,4,4,"15000 2 5e-04 4","1","PCR"
"95",5,0.958568525626552,0.896654275092937,0.988847583643123,0.0666666666666667,5647,15000,2,5e-04,4,5,"15000 2 5e-04 4","1","PCR"
"96",6,0.960466988727858,0.883458646616541,0.992481203007519,0.0555555555555556,6186,15000,2,5e-04,4,6,"15000 2 5e-04 4","1","PCR"
"97",7,0.967741935483871,0.903502974223397,0.99250936329588,0.0588235294117647,6299,15000,2,5e-04,4,7,"15000 2 5e-04 4","1","PCR"
"98",8,0.989391483718874,0.808730158730159,0.981481481481482,0.0714285714285714,13714,15000,2,5e-04,4,8,"15000 2 5e-04 4","1","PCR"
"99",9,0.9559343719425,0.91449814126394,0.992565055762082,0.0666666666666667,6242,15000,2,5e-04,4,9,"15000 2 5e-04 4","1","PCR"
"100",10,0.948859166011015,0.909451421017845,1,0,3983,15000,2,5e-04,4,10,"15000 2 5e-04 4","1","PCR"
"101",11,0.971805523501808,0.879430970149254,1,0,4876,15000,3,5e-04,4,1,"15000 3 5e-04 4","2","PCR"
"102",12,0.973206893956499,0.89268897149938,0.988847583643123,0,4811,15000,3,5e-04,4,2,"15000 3 5e-04 4","2","PCR"
"103",13,0.962881760135395,0.913246268656716,0.992537313432836,0.0625,4552,15000,3,5e-04,4,3,"15000 3 5e-04 4","2","PCR"
