"","treename","traitname","pcr","competence","antibodies","tip.label","clade","ord","fam","gen","adult_mass_g","brain_mass_g","adult_body_length_mm","adult_forearm_length_mm","max_longevity_d","maturity_d","female_maturity_d","male_maturity_d","age_first_reproduction_d","gestation_length_d","teat_number_n","litter_size_n","litters_per_year_n","interbirth_interval_d","neonate_mass_g","weaning_age_d","weaning_mass_g","generation_length_d","dispersal_km","density_n_km2","home_range_km2","social_group_n","dphy_invertebrate","dphy_vertebrate","dphy_plant","det_inv","det_vend","det_vect","det_vfish","det_vunk","det_scav","det_fruit","det_nect","det_seed","det_plantother","det_diet_breadth_n","upper_elevation_m","lower_elevation_m","altitude_breadth_m","habitat_breadth_n","X2.1_AgeatEyeOpening_d","X18.1_BasalMetRate_mLO2hr","X5.2_BasalMetRateMass_g","X7.1_DispersalAge_d","X22.2_HomeRange_Indiv_km2","X13.2_NeonateHeadBodyLen_mm","X10.1_PopulationGrpSize","X13.3_WeaningHeadBodyLen_mm","hibernation_torpor","fossoriality","freshwater","marine","terrestrial_non.volant","terrestrial_volant","island_dwelling","disected_by_mountains","glaciation","trophic_herbivores","trophic_omnivores","trophic_carnivores","activity_nocturnal","activity_crepuscular","activity_diurnal","forager_marine","forager_ground","forager_scansorial","forager_arboreal","forager_aerial","island_end_marine","island_end_mainland","island_end_lgbridge","island_end_isolated","biogeo_afrotropical","biogeo_antarctic","biogeo_australasian","biogeo_indomalayan","biogeo_nearctic","biogeo_neotropical","biogeo_oceanian","biogeo_palearctic","cites","ed_equal"
"76","Sorex","Sorex",0,0,1,"Sorex","Soricidae","Eulipotyphla","Soricidae","Sorex",6.3,0.218,69.28,NA,818.644,330.485,305.389,335,324.5275,20.8255,6,5.918,1.9635,62.9,0.415,24.1895,5.1125,415.9205,0.529,1200,0.0015,NA,70,30,0,70,0,0,0,0,30,0,0,0,0,2,2600,900,1475,2,16,49.44,7.925,NA,0.001406949,NA,1,NA,0,0.987179487179487,0.0128205128205128,0,1,0,0.0285714285714286,0.771428571428571,0.371428571428571,0,0.102564102564103,0.897435897435897,0.128205128205128,0.871794871794872,0,0,1,0,0,0,0,0.948717948717949,0.0256410256410256,0.0256410256410256,0,0,0,0.0384615384615385,0.41025641025641,0.192307692307692,0,0.435897435897436,621,70.403948961
"77","Sotalia","Sotalia",1,0,0,"Sotalia","Whippomorpha","Cetartiodactyla","Delphinidae","Sotalia",63333.3425,680.324,2001.6535,NA,12674.8635,2191.5,2098.5035,2191.5,2300.8515,336.8255,NA,0.991,0.4525,752.221,NA,362.761,NA,5457.1785,NA,NA,NA,9,5,95,0,10,0,0,90,0,0,0,0,0,0,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,4,NA,0,1,1,0.5,0,0,NA,NA,NA,0,0,1,0,0,1,1,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,1,0,0,132,4.80225935218051
"78","Speothos","Speothos",0,0,1,"Speothos","Caniformes","Carnivora","Canidae","Speothos",6000,41.906,687.365,NA,5146.5,344.87,319.598,365.14,412.76,67.89,8,4.13,2,248.3,157.5,101.176,NA,1559.12,15.639,0.04,NA,NA,0,100,0,0,100,0,0,0,0,0,0,0,0,1,1500,NA,NA,5,14,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,39,16.6448957559513
"79","Spermophilus","Spermophilus",0,1,0,"Spermophilus","Squirrel-related","Rodentia","Sciuridae","Spermophilus",228.5,3.144,302.25,NA,2445.5,314.101,314.202,314,341.74,27.414,NA,6,1,353.663,5.7,34.393,138.135,996.028,0.471,423.39,NA,NA,20,0,80,20,0,0,0,0,0,0,0,40,40,3,2100,0,1400,1,NA,NA,NA,NA,NA,NA,NA,140,0.4,1,0,0,1,0,0,0.2,0,0.466666666666667,0.533333333333333,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,6158,18.2736129727806
"80","Stenella","Stenella",1,0,0,"Stenella","Whippomorpha","Cetartiodactyla","Delphinidae","Stenella",99999.995,780,2519.995,NA,16782.15,2673.437,2880.767,3652.5,3202.025,345.095,NA,1,0.35,1095,8529.9125,456.25,39999.995,7587.979,NA,0.21,NA,NA,60,40,0,60,0,0,40,0,0,0,0,0,0,2,NA,NA,NA,2,NA,NA,NA,NA,NA,993.27,190.5,1650,0,1,0,1,0,0,NA,NA,NA,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0.6,0.6,1,1,0.6,0.8,509,3.15269993129025
"81","Steno","Steno",1,0,0,"Steno","Whippomorpha","Cetartiodactyla","Delphinidae","Steno",118250,817.717,2594.995,NA,17520,3194.688,3650,2739.375,2884.673,333.442,NA,1.165,0.591,765.757,NA,60.88,NA,6111.185,NA,NA,NA,NA,40,60,0,40,0,0,60,0,0,0,0,0,0,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,30,NA,0,1,0,1,0,0,NA,NA,NA,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,9247,4.80225935258051
"82","Sus","Sus",0,0,1,"Sus","Suina","Cetartiodactyla","Suidae","Sus",102750,148.226,1493.809,NA,6205,283.18,308.59,768,436,121.744,12,5.13,1.035,331.7775,1000,105.85,6469.99,2457.6065,13.545,11.132,1.18,5,10,20,70,10,0,0,0,10,10,0,0,10,60,1,1600,0,1600,2,NA,NA,NA,NA,5.8,239.99,NA,419.99,0,1,0,0,1,0,0.75,0.5,0,0.1,0.9,0,0,1,0,0,1,0,0,0,0,0.3,0.2,0.5,0,0,0.1,0.8,0,0,0,0.1,22719,59.0034813304925
"83","Tapirus","Tapirus",1,0,0,"Tapirus","Perissodactyla","Perissodactyla","Tapiridae","Tapirus",285625,276.1285,2367.111,NA,12908.9605,987.935,956.7875,1095,1104.5305,387.5395,2,1.0015,0.6915,548.379,6228.55,291.3485,129062.18,4015,22.94,0.399,6.38,1,0,0,100,0,0,0,0,0,0,0,0,0,100,1,2875,0,2875,4,NA,NA,NA,NA,7.67,NA,1,NA,0,1,1,0,1,0,0.25,0.25,0,1,0,0,0.875,0.125,0,0,1,0,0,0,0,1,0,0,0,0,0,0.125,0.125,0.375,0,0,141,44.4446012678125
"84","Trachypithecus","Trachypithecus",0,0,1,"Trachypithecus","Catarrhini","Primates","Cercopithecidae","Trachypithecus",7604.75,86.221,667.5,NA,9654.25,1460,1460.928,NA,1565.086,168.203,NA,1.031,0.648,538.362,444.665,365,1100,4015,3.235,28.6415,0.145,10.5,0,0,100,0,0,0,0,0,0,30,0,0,70,2,1750,30,2000,1,NA,NA,NA,NA,0.3,NA,13.3,NA,0,0,0,0,1,0,0.375,0.5,0,0.941176470588235,0.0588235294117647,0,0,0,1,0,0,0,1,0,0,0.875,0.125,0,0,0,0,0.823529411764706,0,0,0,0,198,12.0385565658375
"85","Tursiops","Tursiops",1,0,0,"Tursiops","Whippomorpha","Cetartiodactyla","Delphinidae","Tursiops",185575,1445.7615,3443.4325,NA,19345,3949.475,3206.63,3862.5,2738.625,365,NA,1,0.5,1095,19350,577.429,NA,6799.8815,NA,0.2,52.77,10,20,80,0,20,0,0,80,0,0,0,0,0,0,2,NA,NA,NA,2,NA,NA,NA,NA,84.99,964.455,35.5,NA,0,1,0,1,0,0,NA,NA,NA,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0.5,0.5,0.5,1579,5.23092553583051
