"","treename","traitname","PCR","Competence","tip.label","clade","ord","fam","gen","adult_mass_g","brain_mass_g","adult_body_length_mm","adult_forearm_length_mm","max_longevity_d","maturity_d","female_maturity_d","male_maturity_d","age_first_reproduction_d","gestation_length_d","teat_number_n","litter_size_n","litters_per_year_n","interbirth_interval_d","neonate_mass_g","weaning_age_d","weaning_mass_g","generation_length_d","dispersal_km","density_n_km2","home_range_km2","social_group_n","dphy_invertebrate","dphy_vertebrate","dphy_plant","det_inv","det_vend","det_vect","det_vfish","det_vunk","det_scav","det_fruit","det_nect","det_seed","det_plantother","det_diet_breadth_n","upper_elevation_m","lower_elevation_m","altitude_breadth_m","habitat_breadth_n","X2.1_AgeatEyeOpening_d","X18.1_BasalMetRate_mLO2hr","X5.2_BasalMetRateMass_g","X7.1_DispersalAge_d","X22.2_HomeRange_Indiv_km2","X13.2_NeonateHeadBodyLen_mm","X10.1_PopulationGrpSize","X13.3_WeaningHeadBodyLen_mm","hibernation_torpor","fossoriality","freshwater","marine","terrestrial_non.volant","terrestrial_volant","island_dwelling","disected_by_mountains","glaciation","trophic_herbivores","trophic_omnivores","trophic_carnivores","activity_nocturnal","activity_crepuscular","activity_diurnal","forager_marine","forager_ground","forager_scansorial","forager_arboreal","forager_aerial","island_end_marine","island_end_mainland","island_end_lgbridge","island_end_isolated","biogeo_afrotropical","biogeo_antarctic","biogeo_australasian","biogeo_indomalayan","biogeo_nearctic","biogeo_neotropical","biogeo_oceanian","biogeo_palearctic","cites","ed_equal"
"43","Microtus","Microtus",1,1,"Microtus","Mouse-related","Rodentia","Cricetidae","Microtus",38.984,0.756,128.572,NA,981.987,37.635,55.682,56,79.248,21.997,6,4.028,3.98,26.028,2.385,21.736,10.485,402.052,0.178,1948.7,0.001,2.75,0,0,100,0,0,0,0,0,0,0,0,20,80,2,2125,175,1680,2,10.25,79.72,32.25,NA,0.000663792,32.49,NA,NA,0,1,0.0151515151515152,0,1,0,0,0.724137931034483,0.344827586206897,0.955223880597015,0.0447761194029851,0,0,1,0,0,1,0,0,0,0,0.939393939393939,0.0303030303030303,0.0303030303030303,0,0,0,0.0298507462686567,0.283582089552239,0.0746268656716418,0,0.671641791044776,131788,29.6342945258453
"44","Monodelphis","Monodelphis",1,0,"Monodelphis","Didelphimorphia","Didelphimorphia","Didelphidae","Monodelphis",55.2,1.345,123.172,NA,1359.573,174.65,287.777,151,316.004,16.68,25,7.67,1.772,188.575,0.095,73.71,20.65,704.799,0.245,200,0.001,1,20,40,40,20,20,0,0,0,20,20,0,20,0,5,1250,110,1090,1,NA,64.695,98.75,NA,0.000463036,8.99,NA,NA,0.0588235294117647,0.823529411764706,0,0,1,0,0.0833333333333333,0.416666666666667,0,0,0.764705882352941,0.235294117647059,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.941176470588235,0,0,789,101.4142220088
"45","Mungos","Mungos",1,0,"Mungos","Feliformes","Carnivora","Herpestidae","Mungos",1488.24,12.0615,403.025,NA,4162.521,349.33,338.964,NA,334.5,60.3045,6,2.9265,1.95,300.483,24.2,36.928,NA,1497.11,7.887,16.98,1.66,NA,80,20,0,80,0,0,0,20,0,0,0,0,0,2,1600,NA,NA,1.5,9.97,NA,NA,NA,2.16,99.49,NA,NA,0,1,0,0,1,0,0,0.5,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,530,41.385964442005
"46","Mus","Mus",1,1,"Mus","Mouse-related","Rodentia","Muridae","Mus",17.7,0.481,95,NA,1407.62,68.5,74.355,63,97.245,21.61,10,4.24,3.605,32.933,1.25,24.464,6.725,498.582,0.119,814.02,5e-04,NA,20,0,80,20,0,0,0,0,0,0,0,20,60,3,2000,200,1000,2,14.5,56.76,21.8,NA,0.000401661,23.74,NA,49.99,0,0.948717948717949,0,0,1,0,0,0.75,0,0.0512820512820513,0.923076923076923,0.0256410256410256,1,0,0,0,1,0,0,0,0,0.871794871794872,0.102564102564103,0.0256410256410256,0.461538461538462,0,0.0256410256410256,0.435897435897436,0.0256410256410256,0.0256410256410256,0.0256410256410256,0.205128205128205,18005,30.6234283581227
"47","Myodes","Myodes",1,1,"Myodes","Mouse-related","Rodentia","Cricetidae","Myodes",27.35,0.61,112,NA,1213.625,76.3655,81.393,72,110,21.596,NA,4.13,3.2,24.74,1.82,22.617,10,427.005,0.146,1426.09,0.001,1,20,0,80,20,0,0,0,0,0,0,0,30,50,3,2700,0,2400,2,12,59.4,21.9,NA,0.001169301,30,NA,NA,0,0.909090909090909,0,0,1,0,0.166666666666667,0.833333333333333,0.5,0.363636363636364,0.636363636363636,0,0,1,0,0,1,0,0,0,0,0.727272727272727,0.0909090909090909,0.181818181818182,0,0,0,0,0.272727272727273,0,0,0.818181818181818,131180,29.6342942728453
"48","Myrmecophaga","Myrmecophaga",0,1,"Myrmecophaga","Xenarthra","Pilosa","Myrmecophagidae","Myrmecophaga",29531.83,84,1512.36,NA,11506.625,1227.12,1187.004,1186,1410.49,184,NA,1,1.17,476.091,1500,56,3499.99,4124.528,34.147,0.546,4,1,100,0,0,100,0,0,0,0,0,0,0,0,0,1,NA,0,NA,5,6,2601,30600,NA,4.29,NA,1,NA,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,112,106.135167903
"49","Okapia","Okapia",0,1,"Okapia","Ruminantia","Cetartiodactyla","Giraffidae","Okapia",230001.14,475,2075,NA,12227.5,947.05,726.203,790,1397.545,452.583,4,1,0.8,592.639,17375,194,77000,4764.236,21.099,0.5,4.63,1,0,0,100,0,0,0,0,0,0,0,0,0,100,1,1500,450,1050,1,NA,NA,NA,NA,6,NA,NA,NA,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,42,37.3003294434062
"50","Oligoryzomys","Oligoryzomys",1,0,"Oligoryzomys","Mouse-related","Rodentia","Cricetidae","Oligoryzomys",25.2,0.9725,171.8065,NA,1102.6525,27.72,61.215,NA,95.95,26.2285,NA,3.7975,4.523,30.0175,3.3,22.96,NA,456.4095,0.14,930.06,0.001,1,30,0,70,30,0,0,0,0,0,30,0,40,0,3,2950,700,2250,2,NA,51.01,28.2,NA,0.000819928,NA,NA,NA,0,0.8,0,0,1,0,0,0.545454545454545,0.181818181818182,0.1,0.9,0,1,0,0,0,1,0,0,0,0,0.95,0,0.05,0,0,0,0,0,1,0,0,215,41.2938373071053
"51","Oryctolagus","Oryctolagus",1,1,"Oryctolagus","Lagomorpha","Lagomorpha","Leporidae","Oryctolagus",1900,10.386,450,NA,6570,185.61,185.61,NA,121.66,30.596,NA,5.24,4.415,28.98,39.61,26.15,212.53,1515.354,1.509,1576.667,0.04,NA,0,0,100,0,0,0,0,0,0,0,0,0,100,1,1500,NA,NA,4,10,NA,NA,NA,0.04,NA,NA,NA,0,1,0,0,1,0,NA,NA,NA,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1996,80.0090330925
"52","Pan","Pan",1,0,"Pan","Catarrhini","Primates","Hominidae","Pan",40051.725,344.417,828.38,NA,23542.5,4681.84,3462.034,2920,4297.954,232.16,2,1.0375,0.21,1550.313,1572.3925,983.438,8412.5,8212.5,8.0525,1.8615,19.39,67.5,10,0,90,10,0,0,0,0,0,60,0,5,25,2,1745,150,1595,1.5,0,9000,34150,NA,12.5,NA,67.5,NA,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,154692,15.849035185125
"53","Panthera","Panthera",0,1,"Panthera","Feliformes","Carnivora","Felidae","Panthera",128800,236.878,2073.819,NA,10353.833,987.77,1020.645,771,1162.34,105.19,4,2.12,0.877,498.794,820,126,7500,3376.793,54.377,0.066,52.55,NA,0,100,0,0,100,0,0,0,0,0,0,0,0,1,4500,0,4500,4,8.515,27420.6,155800,619.37,63.735,NA,1,NA,0,1,0,0,1,0,0,0.333333333333333,0,0,0,1,0.142857142857143,0.857142857142857,0,0,1,0,0,0,0,1,0,0,0.285714285714286,0,0,0.571428571428571,0,0.142857142857143,0,0.571428571428571,2200,24.2442205541125
"54","Peromyscus","Peromyscus",1,1,"Peromyscus","Mouse-related","Rodentia","Cricetidae","Peromyscus",26.3,0.76,107,NA,1971,53.04,52.988,63,80.68,26,4,3.13,3.69,33.8995,2.315,26.7225,10.5,615.2015,0.147,775,0.0025,1,50,10,40,50,0,0,0,0,10,20,0,20,0,3,2500,700,1390.5,2,15.19,36.98,21.5,39.2,0.002672491,NA,2.8,NA,0.103448275862069,0.25,0,0,1,0,0,0.388888888888889,0.0833333333333333,0.0344827586206897,0.931034482758621,0.0344827586206897,1,0,0,0,1,0,0,0,0,0.827586206896552,0,0.172413793103448,0,0,0,0,0.603448275862069,0.620689655172414,0,0,2616,41.2938365079453
"55","Phocoena","Phocoena",1,0,"Phocoena","Whippomorpha","Cetartiodactyla","Phocoenidae","Phocoena",56365.46,617.997,1632.5175,NA,10331.594,745.4,1453.0805,798.99,1801.241,325.8755,NA,0.985,0.534,661.1905,6887.5,339.711,NA,4237.0595,NA,0.03,NA,50,0,100,0,0,0,0,100,0,0,0,0,0,0,1,0,0,0,2,NA,NA,NA,NA,NA,808.98,4,NA,0,1,0,1,0,0,NA,NA,NA,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0.25,0.25,0,0,0.25,0.75,0,0.25,565,22.8656060440431
"56","Prionailurus","Prionailurus",0,1,"Prionailurus","Feliformes","Carnivora","Felidae","Prionailurus",4645.94,26.599,631.8115,NA,6296.25,855.31,492.52,NA,517,66.991,8,2.349,1.946,202.5725,131.93,76.606,620,2190,13.777,NA,1.87,NA,0,100,0,0,50,17.5,22.5,0,0,0,0,0,0,1.5,2140,0,2140,4,12.985,NA,NA,NA,1.76,NA,1,NA,0,1,0.5,0,1,0,0,0.5,0,0,0,1,0.75,0.25,0,0,0.5,0.5,0,0,0,1,0,0,0,0,0,1,0,0,0,0.25,104,7.03729606887656
"57","Procyon","Procyon",1,1,"Procyon","Caniformes","Carnivora","Procyonidae","Procyon",5075,41.653,600,NA,6935,596.325,365,365,625.28,63.914,6,3.096,1.718,251.111,75.25,91,1175,2191.955,2.59,76.5735,4.62,NA,40,30,29,40,0,20,0,0,0,20,0,20,0,4,1185,0,1185,1,20.955,2438.115,6223.43,341.245,4.9,NA,NA,NA,0,0.333333333333333,0.333333333333333,0,1,0,0,1,0,0,0.666666666666667,0.333333333333333,1,0,0,0,1,0,0,0,0,0.666666666666667,0,0.333333333333333,0,0,0,0,0.333333333333333,1,0,0,1950,26.2829763799906
"58","Puma","Puma",1,1,"Puma","Feliformes","Carnivora","Felidae","Puma",48000,132.843,1677.665,NA,8687,1034.61,912,912,623.54,92.3,NA,2.76,0.47,681.488,400,90,3500,2693.79,43.323,0.06,129.89,1,0,100,0,0,100,0,0,0,0,0,0,0,0,1,5800,0,5800,5,8,13300.8,51800,419.99,138.87,NA,NA,NA,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,4338,6.67374472663656
"59","Rattus","Rattus",1,1,"Rattus","Mouse-related","Rodentia","Muridae","Rattus",151.695,1.896,190,NA,1293.941,107.189,102.959,112,130.016,25.044,8,3.728,3.521,40.103,4.545,26.087,39.69,570.921,0.378,2330,0.0015,NA,30,0,70,30,0,0,0,0,0,20,0,40,10,3,2000,450,1237.5,2,18,106.59,165.7,NA,0.001749737,43.67,NA,141.48,0,0.970149253731343,0,0,1,0,0.666666666666667,0.454545454545455,0,0.0895522388059701,0.895522388059702,0.0149253731343284,1,0,0,0,1,0,0,0,0,0.358208955223881,0.253731343283582,0.388059701492537,0.0294117647058824,0,0.544117647058823,0.470588235294118,0.0147058823529412,0.0147058823529412,0.0294117647058824,0.102941176470588,1748804,31.5316734808427
"60","Rhombomys","Rhombomys",0,1,"Rhombomys","Mouse-related","Rodentia","Muridae","Rhombomys",214,2.564,200,NA,1642.5,108.27,106.526,105,136.02,28,NA,5,2.5,43.063,4.75,22.218,NA,562.532,0.454,NA,NA,NA,0,0,100,0,0,0,0,0,0,0,0,0,100,1,900,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,1,0,NA,NA,NA,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,171,24.4109397428027
"61","Saguinus","Saguinus",1,0,"Saguinus","Platyrrhini","Primates","Callitrichidae","Saguinus",495.665,10.7315,287.105,NA,7573.75,624.491,613.129,550,749.3825,146,NA,1.9375,1.428,214.149,41,104.456,105,2393.499,0.7205,28.533,0.175,6.125,40,0,60,40,0,0,0,0,0,30,30,0,0,3,1500,0,1500,1,NA,234,225,NA,0.235,NA,NA,NA,0,0,0,0,1,0,0,0.125,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.916666666666667,0,0,1115,12.161996884775
"62","Saimiri","Saimiri",1,0,"Saimiri","Platyrrhini","Primates","Cebidae","Saimiri",836.7,24.273,334.995,NA,11023,1399.88,1090.589,1826,1073.25,162.545,NA,1,1.07,373.869,107.5,177,410.5,3670.732,0.961,49.934,0.68,34.85,20,20,60,20,0,0,0,20,0,20,0,20,20,5,500,50,450,1,NA,738.81,850,NA,0.65,NA,25,NA,0,0,0,0,1,0,0,0.25,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.714285714285714,0,0,5474,19.15180424905
"63","Sapajus","Sapajus",1,1,"Sapajus","Platyrrhini","Primates","Cebidae","Sapajus",2642.5,69.0685,493.845,NA,16790,1760.81,1727.448,NA,1897.672,158,NA,1.05,0.6,663.546,235.54,307,1000,5553.1025,1.809,18.739,1.175,8.5,23.25,12,63.75,20,0,0,0,10,0,40,20,0,10,3,NA,NA,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,0.5,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,364,19.15180257455
"64","Sotalia","Sotalia",1,0,"Sotalia","Whippomorpha","Cetartiodactyla","Delphinidae","Sotalia",63333.3425,680.324,2001.6535,NA,12674.8635,2191.5,2098.5035,2191.5,2300.8515,336.8255,NA,0.991,0.4525,752.221,NA,362.761,NA,5457.1785,NA,NA,NA,9,5,95,0,10,0,0,90,0,0,0,0,0,0,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,4,NA,0,1,1,0.5,0,0,NA,NA,NA,0,0,1,0,0,1,1,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,1,0,0,132,4.89056583931039
"65","Spermophilus","Spermophilus",0,1,"Spermophilus","Squirrel-related","Rodentia","Sciuridae","Spermophilus",228.5,3.144,302.25,NA,2445.5,314.101,314.202,314,341.74,27.414,NA,6,1,353.663,5.7,34.393,138.135,996.028,0.471,423.39,NA,NA,20,0,80,20,0,0,0,0,0,0,0,40,40,3,2100,0,1400,1,NA,NA,NA,NA,NA,NA,NA,140,0.4,1,0,0,1,0,0,0.2,0,0.466666666666667,0.533333333333333,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,6149,18.6736700606712
"66","Stenella","Stenella",1,0,"Stenella","Whippomorpha","Cetartiodactyla","Delphinidae","Stenella",99999.995,780,2519.995,NA,16782.15,2673.437,2880.767,3652.5,3202.025,345.095,NA,1,0.35,1095,8529.9125,456.25,39999.995,7587.979,NA,0.21,NA,NA,60,40,0,60,0,0,40,0,0,0,0,0,0,2,NA,NA,NA,2,NA,NA,NA,NA,NA,993.27,190.5,1650,0,1,0,1,0,0,NA,NA,NA,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0.6,0.6,1,1,0.6,0.8,509,3.1968531748552
"67","Steno","Steno",1,0,"Steno","Whippomorpha","Cetartiodactyla","Delphinidae","Steno",118250,817.717,2594.995,NA,17520,3194.688,3650,2739.375,2884.673,333.442,NA,1.165,0.591,765.757,NA,60.88,NA,6111.185,NA,NA,NA,NA,40,60,0,40,0,0,60,0,0,0,0,0,0,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,30,NA,0,1,0,1,0,0,NA,NA,NA,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,9222,4.89056583971039
"68","Tapirus","Tapirus",1,0,"Tapirus","Perissodactyla","Perissodactyla","Tapiridae","Tapirus",285625,276.1285,2367.111,NA,12908.9605,987.935,956.7875,1095,1104.5305,387.5395,2,1.0015,0.6915,548.379,6228.55,291.3485,129062.18,4015,22.94,0.399,6.38,1,0,0,100,0,0,0,0,0,0,0,0,0,100,1,2875,0,2875,4,NA,NA,NA,NA,7.67,NA,1,NA,0,1,1,0,1,0,0.25,0.25,0,1,0,0,0.875,0.125,0,0,1,0,0,0,0,1,0,0,0,0,0,0.125,0.125,0.375,0,0,139,44.4446012678125
"69","Tursiops","Tursiops",1,0,"Tursiops","Whippomorpha","Cetartiodactyla","Delphinidae","Tursiops",185575,1445.7615,3443.4325,NA,19345,3949.475,3206.63,3862.5,2738.625,365,NA,1,0.5,1095,19350,577.429,NA,6799.8815,NA,0.2,52.77,10,20,80,0,20,0,0,80,0,0,0,0,0,0,2,NA,NA,NA,2,NA,NA,NA,NA,84.99,964.455,35.5,NA,0,1,0,1,0,0,NA,NA,NA,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0.5,0.5,0.5,1578,5.31923202296039
"70","Vicugna","Vicugna",1,0,"Vicugna","Camelidae","Cetartiodactyla","Camelidae","Vicugna",50000,198,1737.5,NA,22435.333,941.19,730,730,1140.62,345.45,NA,1,0.7,547.375,5841.67,213.052,NA,3674.847,9.115,3.1,0.12,NA,0,0,100,0,0,0,0,0,0,0,0,0,100,1,5000,3000,2000,4,NA,NA,NA,NA,0.13,NA,NA,NA,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,305,18.8543909871563
"71","Vulpes","Vulpes",1,1,"Vulpes","Caniformes","Carnivora","Canidae","Vulpes",2700,29.6615,553.465,NA,5584.5,365,350.6235,304,365,53.35,8,4.44,1,364.75,60.4975,49.605,1457,1800.341,3.12,0.755,6.345,NA,20,70,10.5,20,55,0,0,0,0,0,0,0,0,2,3000,0,2850,2,14.52,1370.7,2644,157.5,6.945,111.7,NA,300,0,1,0,0.0833333333333333,1,0,0,0.8,0,0,0.583333333333333,0.416666666666667,0.75,0.166666666666667,0.0833333333333333,0,1,0,0,0,0,1,0,0,0.5,0,0.0833333333333333,0.25,0.333333333333333,0,0,0.666666666666667,5547,28.5166244599625
