"","row","trainAUC","testAUC","spec","sen","best","n.trees","interaction.depth","shrinkage","n.minobsinnode","seed","id","id2","type"
"65",65,0.969609058134295,0.89866590973602,1,0.0769230769230769,217,5000,3,0.01,4,5,"5000 3 0.01 4","7","competence"
"66",66,0.990989356555394,0.868277571251549,0.988847583643123,0,239,5000,3,0.01,4,6,"5000 3 0.01 4","7","competence"
"67",67,0.973228346456693,0.933068783068783,0.992592592592593,0.0714285714285714,202,5000,3,0.01,4,7,"5000 3 0.01 4","7","competence"
"68",68,0.970904686795854,0.869429463525405,0.996309963099631,0,222,5000,3,0.01,4,8,"5000 3 0.01 4","7","competence"
"69",69,0.976827094474153,0.904438405797101,0.97463768115942,0.25,229,5000,3,0.01,4,9,"5000 3 0.01 4","7","competence"
"70",70,0.980734565119423,0.841754186772637,1,0.0769230769230769,166,5000,3,0.01,4,10,"5000 3 0.01 4","7","competence"
"71",71,0.981241550247859,0.877944933295487,1,0,1369,5000,4,0.001,4,1,"5000 4 0.001 4","8","competence"
"72",72,0.984396124380352,0.889015043996594,1,0.0769230769230769,1805,5000,4,0.001,4,2,"5000 4 0.001 4","8","competence"
"73",73,0.983902012248469,0.859259259259259,1,0,1947,5000,4,0.001,4,3,"5000 4 0.001 4","8","competence"
"74",74,0.975649615950319,0.944852941176471,0.996323529411765,0,1529,5000,4,0.001,4,4,"5000 4 0.001 4","8","competence"
"75",75,0.977692654348806,0.896962815782004,1,0,1732,5000,4,0.001,4,5,"5000 4 0.001 4","8","competence"
"76",76,0.99540396710208,0.841387856257745,0.992565055762082,0,1971,5000,4,0.001,4,6,"5000 4 0.001 4","8","competence"
"77",77,0.98034412365121,0.931481481481481,0.992592592592593,0,1680,5000,4,0.001,4,7,"5000 4 0.001 4","8","competence"
"78",78,0.973862100045065,0.885608856088561,1,0,1571,5000,4,0.001,4,8,"5000 4 0.001 4","8","competence"
"79",79,0.978850508262273,0.899909420289855,0.978260869565217,0.25,1936,5000,4,0.001,4,9,"5000 4 0.001 4","8","competence"
"80",80,0.989634970707526,0.834516037468067,1,0.0769230769230769,1872,5000,4,0.001,4,10,"5000 4 0.001 4","8","competence"
"81",81,0.981579540333483,0.885608856088561,1,0,125,5000,4,0.01,4,1,"5000 4 0.01 4","9","competence"
"82",82,0.9799459215863,0.895969344308828,1,0,147,5000,4,0.01,4,2,"5000 4 0.01 4","9","competence"
"83",83,0.982093904928551,0.874074074074074,1,0.0714285714285714,186,5000,4,0.01,4,3,"5000 4 0.01 4","9","competence"
"84",84,0.973034809609413,0.948835784313725,0.996323529411765,0,167,5000,4,0.01,4,4,"5000 4 0.01 4","9","competence"
"85",85,0.972763632266787,0.892705080896963,1,0,160,5000,4,0.01,4,5,"5000 4 0.01 4","9","competence"
"86",86,0.996008708272859,0.849938042131351,0.992565055762082,0,214,5000,4,0.01,4,6,"5000 4 0.01 4","9","competence"
"87",87,0.983435403907845,0.934920634920635,0.992592592592593,0.0714285714285714,204,5000,4,0.01,4,7,"5000 4 0.01 4","9","competence"
"88",88,0.96884858044164,0.872835651433437,1,0,127,5000,4,0.01,4,8,"5000 4 0.01 4","9","competence"
"89",89,0.975502240208123,0.89945652173913,0.978260869565217,0.25,164,5000,4,0.01,4,9,"5000 4 0.01 4","9","competence"
"90",90,0.986367733213159,0.83934147033778,1,0.0769230769230769,148,5000,4,0.01,4,10,"5000 4 0.01 4","9","competence"
"91",1,0.968241167434716,0.864039179104478,0.996268656716418,0,5348,15000,2,5e-04,4,1,"15000 2 5e-04 4","1","PCR"
"92",2,0.967558226306901,0.888962326503635,1,0.0588235294117647,7748,15000,2,5e-04,4,2,"15000 2 5e-04 4","1","PCR"
"93",3,0.967202572347267,0.87781954887218,0.996240601503759,0,5381,15000,2,5e-04,4,3,"15000 2 5e-04 4","1","PCR"
"94",4,0.946428571428572,0.896222014925373,0.985074626865672,0,4827,15000,2,5e-04,4,4,"15000 2 5e-04 4","1","PCR"
"95",5,0.970084485407066,0.829291044776119,0.996268656716418,0.0625,5693,15000,2,5e-04,4,5,"15000 2 5e-04 4","1","PCR"
"96",6,0.965033723819666,0.859819569743234,1,0.0454545454545455,4661,15000,2,5e-04,4,6,"15000 2 5e-04 4","1","PCR"
"97",7,0.949687757747143,0.868913857677903,1,0.117647058823529,6055,15000,2,5e-04,4,7,"15000 2 5e-04 4","1","PCR"
"98",8,0.954464864864865,0.883939887742169,1,0.0476190476190476,4281,15000,2,5e-04,4,8,"15000 2 5e-04 4","1","PCR"
"99",9,0.979038357644517,0.883905762134544,0.974169741697417,0.230769230769231,11971,15000,2,5e-04,4,9,"15000 2 5e-04 4","1","PCR"
"100",10,0.959125085440875,0.87656171914043,0.996168582375479,0.0434782608695652,5249,15000,2,5e-04,4,10,"15000 2 5e-04 4","1","PCR"
"101",11,0.982565284178187,0.861707089552239,1,0,4743,15000,3,5e-04,4,1,"15000 3 5e-04 4","2","PCR"
"102",12,0.980126467931346,0.893148270544173,1,0.0588235294117647,6232,15000,3,5e-04,4,2,"15000 3 5e-04 4","2","PCR"
"103",13,0.981149517684887,0.87781954887218,0.996240601503759,0.111111111111111,5637,15000,3,5e-04,4,3,"15000 3 5e-04 4","2","PCR"
"104",14,0.960560675883257,0.896688432835821,0.98134328358209,0,4160,15000,3,5e-04,4,4,"15000 3 5e-04 4","2","PCR"
"105",15,0.981989247311828,0.833722014925373,0.996268656716418,0.0625,5214,15000,3,5e-04,4,5,"15000 3 5e-04 4","2","PCR"
"106",16,0.977680156194533,0.861901457321305,1,0.0454545454545455,4218,15000,3,5e-04,4,6,"15000 3 5e-04 4","2","PCR"
"107",17,0.959938729822081,0.871557611808768,1,0.117647058823529,5030,15000,3,5e-04,4,7,"15000 3 5e-04 4","2","PCR"
"108",18,0.968432432432432,0.885750497917798,1,0.0476190476190476,3812,15000,3,5e-04,4,8,"15000 3 5e-04 4","2","PCR"
"109",19,0.98307221321808,0.886744252057905,0.974169741697417,0.153846153846154,7817,15000,3,5e-04,4,9,"15000 3 5e-04 4","2","PCR"
