"","gtip","X","treename","traitname","pcr","competence","gen","fam","ord","clade","adult_mass_g","brain_mass_g","adult_body_length_mm","adult_forearm_length_mm","max_longevity_d","maturity_d","female_maturity_d","male_maturity_d","age_first_reproduction_d","gestation_length_d","teat_number_n","litter_size_n","litters_per_year_n","interbirth_interval_d","neonate_mass_g","weaning_age_d","weaning_mass_g","generation_length_d","dispersal_km","density_n_km2","home_range_km2","social_group_n","dphy_invertebrate","dphy_vertebrate","dphy_plant","det_inv","det_vend","det_vect","det_vfish","det_vunk","det_scav","det_fruit","det_nect","det_seed","det_plantother","det_diet_breadth_n","upper_elevation_m","lower_elevation_m","altitude_breadth_m","habitat_breadth_n","X2.1_AgeatEyeOpening_d","X18.1_BasalMetRate_mLO2hr","X5.2_BasalMetRateMass_g","X7.1_DispersalAge_d","X22.2_HomeRange_Indiv_km2","X13.2_NeonateHeadBodyLen_mm","X10.1_PopulationGrpSize","X13.3_WeaningHeadBodyLen_mm","hibernation_torpor","fossoriality","freshwater","marine","terrestrial_non.volant","terrestrial_volant","island_dwelling","disected_by_mountains","glaciation","trophic_herbivores","trophic_omnivores","trophic_carnivores","activity_nocturnal","activity_crepuscular","activity_diurnal","forager_marine","forager_ground","forager_scansorial","forager_arboreal","forager_aerial","island_end_marine","island_end_mainland","island_end_lgbridge","island_end_isolated","biogeo_afrotropical","biogeo_antarctic","biogeo_australasian","biogeo_indomalayan","biogeo_nearctic","biogeo_neotropical","biogeo_oceanian","biogeo_palearctic","cites","ed_equal","studied"
"553","Myocastor",553,"Myocastor","Myocastor",0,0,"Myocastor","MYOCASTORIDAE","RODENTIA","Guinea_pig-related",7150,20.045,577.22,NA,4380,187.09,159.789,152,319.37,131.86,8,5.34,2.32,130.661,215.35,57.828,1750,1311.715,3.127,226.26,0.02,7.5,0,0,100,0,0,0,0,0,0,0,0,0,100,1,NA,NA,NA,2,0,NA,NA,NA,0.03,NA,NA,NA,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,180,14.9327217770237,0
"554","Myodes",554,"Myodes","Myodes",1,1,"Myodes","CRICETIDAE","RODENTIA","Mouse-related",27.35,0.61,112,NA,1213.625,76.3655,81.393,72,110,21.596,NA,4.13,3.2,24.74,1.82,22.617,10,427.005,0.146,1426.09,0.001,1,20,0,80,20,0,0,0,0,0,0,0,30,50,3,2700,0,2400,2,12,59.4,21.9,NA,0.001169301,30,NA,NA,0,0.909090909090909,0,0,1,0,0.166666666666667,0.833333333333333,0.5,0.363636363636364,0.636363636363636,0,0,1,0,0,1,0,0,0,0,0.727272727272727,0.0909090909090909,0.181818181818182,0,0,0,0,0.272727272727273,0,0,0.818181818181818,131346,8.46633882557825,1
"555","Myomimus",555,"Myomimus","Myomimus",0,0,"Myomimus","GLIRIDAE","RODENTIA","Squirrel-related",37.74,1.703,117.673,NA,1731.909,NA,319.248,NA,348.477,28.076,NA,3.807,1.757,90.189,3.5,34.687,NA,857.727,0.19,NA,NA,NA,10,30,60,10,20,0,0,10,0,30,0,30,0,3,2800,1500,1300,2,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,1,0,NA,NA,NA,0.333333333333333,0.333333333333333,0.333333333333333,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,11.9079577904082,0
"556","Myomyscus",556,"Myomyscus","Myomyscus",0,0,"Myomyscus","MURIDAE","RODENTIA","Mouse-related",35.5,0.954,126.16,NA,1215.368,NA,91.1715,NA,122.273,27.124,NA,3.35,3.1275,38.4195,NA,25.8105,NA,576.07,0.1935,3600,NA,NA,72.5,0,27.5,80,0,0,0,0,0,0,0,0,20,2,1500,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,1,0,0,1,0,0.25,0.5,0.25,0.75,0.25,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.25,1,12.3684930465825,0
"557","Myoprocta",557,"Myoprocta","Myoprocta",0,0,"Myoprocta","DASYPROCTIDAE","RODENTIA","Guinea_pig-related",879.25,10.1575,371.455,NA,5402,178.09,242.328,304,325.636,99.1625,8,1.92,2.1265,125.379,77.425,51.9075,350,1639.6195,0.9875,4.312,0.009,2,5,0,95,10,0,0,0,0,0,40,0,0,50,2,1200,50,1150,1,0,502.7,914,NA,0.006772796,NA,NA,NA,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,93,20.7595471438916,0
"558","Myopus",558,"Myopus","Myopus",0,0,"Myopus","CRICETIDAE","RODENTIA","Mouse-related",26.4,0.56,110,NA,760.417,25.37,28.968,NA,60.83,22.675,NA,4.94,2,24.983,3.2,20.126,14.345,149.039,0.144,NA,0.001,NA,0,0,100,0,0,0,0,0,0,0,0,0,100,1,2450,600,1850,2,11,93.45,26.4,NA,0.000719112,NA,NA,NA,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,26,12.719447419926,0
"559","Myosciurus",559,"Myosciurus","Myosciurus",0,0,"Myosciurus","SCIURIDAE","RODENTIA","Squirrel-related",16.47,2.071,72.25,NA,1862.457,NA,317.729,NA,356.354,49.466,3,2,1.646,131.352,NA,46.816,NA,1109.233,0.111,NA,NA,1,0,0,100,0,0,0,0,0,0,0,0,0,100,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,21.0760939512365,0
"560","Myosorex",560,"Myosorex","Myosorex",0,0,"Myosorex","SORICIDAE","EULIPOTYPHLA","Soricidae",10.35,0.358,95.1965,NA,787.5135,NA,246.478,NA,283.292,25.003,NA,3.608,2.147,73.038,1,24.043,NA,474.3515,0.678,1325,NA,1,90,10,0,90,10,0,0,0,0,0,0,0,0,1,2800,1825,600,1.5,16.5,NA,NA,NA,NA,NA,NA,NA,0,0.944444444444444,0,0,1,0,0,1,0,0,0.111111111111111,0.888888888888889,0,1,0,0,1,0,0,0,0,0.941176470588235,0.0588235294117647,0,0.842105263157895,0,0,0,0,0,0,0,12,40.6781193400781,0
"561","Myospalax",561,"Myospalax","Myospalax",0,0,"Myospalax","SPALACIDAE","RODENTIA","Mouse-related",225,2.731,270,NA,1651.766,NA,317.682,NA,336.157,31.016,NA,3.75,1,275.77,NA,47.445,NA,840.259,0.467,NA,NA,NA,0,0,100,0,0,0,0,0,0,0,0,50,50,2,2750,NA,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,1,0,0,0.5,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,49,23.4537292457119,0
"562","Myotragus",562,"Myotragus","Myotragus",0,0,"Myotragus","BOVIDAE","CETARTIODACTYLA","Ruminantia",26418,105.751,1359.484,NA,6550.788,NA,562.033,NA,655.879,174.805,NA,1.158,1.356,264.902,NA,119.373,NA,2357.968,7.517,NA,NA,NA,1,0,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,13,7.64817905070004,0
"563","Myrmecophaga",563,"Myrmecophaga","Myrmecophaga",0,1,"Myrmecophaga","MYRMECOPHAGIDAE","PILOSA","Xenarthra",29531.83,84,1512.36,NA,11506.625,1227.12,1187.004,1186,1410.49,184,NA,1,1.17,476.091,1500,56,3499.99,4124.528,34.147,0.546,4,1,100,0,0,100,0,0,0,0,0,0,0,0,0,1,NA,0,NA,5,6,2601,30600,NA,4.29,NA,1,NA,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,113,40.787471339125,1
"564","Mysateles",564,"Mysateles","Mysateles",0,0,"Mysateles","CAPROMYIDAE","RODENTIA","Guinea_pig-related",1508.8355,18.6215,500,NA,2631.0845,NA,705.262,NA,852.0305,171.766,NA,1.875,1.4795,234.3955,NA,97.3495,NA,3650,1.3285,NA,NA,NA,0,4,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,NA,NA,NA,0,1,0,0.5,0,0.5,0,0.5,0,0.5,0,0,0,0,1,0,0,0,0,0,0.5,0,0,1,3.65921212809827,0
"565","Mystromys",565,"Mystromys","Mystromys",0,0,"Mystromys","NESOMYIDAE","RODENTIA","Mouse-related",93.8,1.39,184,NA,2299.5,124.72,109,NA,146,38,NA,3,3.55,35.975,6.5,32,40,754.638,0.288,NA,NA,NA,30,0,70,30,0,0,0,0,0,0,0,30,40,3,NA,NA,NA,2,18,126.79,93.78,NA,NA,53,NA,NA,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,42,26.4721695037452,0
"566","Naemorhedus",566,"Naemorhedus","Naemorhedus",0,0,"Naemorhedus","BOVIDAE","CETARTIODACTYLA","Ruminantia",28231.59,112.647,1180,NA,6965.4165,870.731,949.603,500,526.5,215,4,1,1,364.75,2000,59.27,NA,2555,6.656,0.331,NA,NA,0,0,100,0,0,0,0,0,0,0,0,17.5,82.5,1.5,3250,900,2250,3.5,NA,NA,NA,NA,NA,NA,12,NA,0,1,0,0,1,0,0,0.25,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0.75,0,0,0,1,32,5.40387352972504,0
